-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void vllm::merge_attn_states_kernel<__nv_bfloat16, _...         0.00%       0.000us         0.00%       0.000us       0.000us     472.710us         0.18%     472.710us       1.688us           0 B           0 B           0 B           0 B           280  
                                              memcpy128         0.00%       0.000us         0.00%       0.000us       0.000us     384.516us         0.15%     384.516us       2.747us           0 B           0 B           0 B           0 B           140  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     361.055us         0.14%     361.055us       1.289us           0 B           0 B           0 B           0 B           280  
                                            aten::copy_         1.62%       5.049ms         3.30%      10.317ms      33.826us     329.222us         0.12%     329.222us       1.079us           0 B           0 B           0 B           0 B           305  
                               _select_kv_gather_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     241.568us         0.09%     241.568us      24.157us           0 B           0 B           0 B           0 B            10  
                                            aten::fill_         1.09%       3.403ms         3.32%      10.361ms      39.851us     212.742us         0.08%     213.798us       0.822us           0 B           0 B           0 B           0 B           260  
                              _select_kv_scatter_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     192.704us         0.07%     192.704us      19.270us           0 B           0 B           0 B           0 B            10  
                                _merge_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     140.064us         0.05%     140.064us       2.334us           0 B           0 B           0 B           0 B            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     135.013us         0.05%     135.013us       0.900us           0 B           0 B           0 B           0 B           150  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     114.114us         0.04%     114.114us       0.992us           0 B           0 B           0 B           0 B           115  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      87.647us         0.03%      87.647us       1.043us           0 B           0 B           0 B           0 B            84  
                                            aten::where         0.84%       2.634ms         3.92%      12.238ms     101.980us      79.195us         0.03%     230.041us       1.917us           0 B           0 B      65.00 KB     -40.00 KB           120  
                                      aten::bitwise_and         0.37%       1.150ms         0.55%       1.732ms      34.633us      60.861us         0.02%      60.861us       1.217us           0 B           0 B      25.00 KB      25.00 KB            50  
         triton_red_fused__to_copy_embedding_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      60.577us         0.02%      60.577us       4.038us           0 B           0 B           0 B           0 B            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.181us         0.02%      58.181us       1.058us           0 B           0 B           0 B           0 B            55  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      50.175us         0.02%      50.175us       3.345us           0 B           0 B           0 B           0 B            15  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      49.122us         0.02%      49.122us       1.403us           0 B           0 B           0 B           0 B            35  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      47.456us         0.02%      47.456us       1.055us           0 B           0 B           0 B           0 B            45  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.846us         0.02%      46.846us       1.171us           0 B           0 B           0 B           0 B            40  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      44.382us         0.02%      44.382us       1.479us           0 B           0 B           0 B           0 B            30  
                                       aten::bitwise_or         0.26%     801.141us         0.39%       1.219ms      34.840us      39.550us         0.02%      39.550us       1.130us           0 B           0 B      17.50 KB      17.50 KB            35  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.550us         0.02%      39.550us       1.130us           0 B           0 B           0 B           0 B            35  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      38.817us         0.01%      38.817us       2.588us           0 B           0 B           0 B           0 B            15  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      38.080us         0.01%      38.080us       0.762us           0 B           0 B           0 B           0 B            50  
                             _prepare_candidates_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      37.827us         0.01%      37.827us       2.522us           0 B           0 B           0 B           0 B            15  
                                               aten::ne         0.35%       1.088ms         0.48%       1.510ms      43.148us      37.765us         0.01%      37.765us       1.079us           0 B           0 B      17.50 KB      17.50 KB            35  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.003us         0.01%      36.003us       0.900us           0 B           0 B           0 B           0 B            40  
                                _local_beam_topk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      35.040us         0.01%      35.040us       2.336us           0 B           0 B           0 B           0 B            15  
                                            aten::index         0.17%     536.163us         0.39%       1.232ms     123.216us      34.976us         0.01%      43.872us       4.387us           0 B           0 B      40.00 KB      37.50 KB            10  
                                      aten::bitwise_not         0.24%     761.334us         0.39%       1.205ms      40.157us      33.506us         0.01%      33.506us       1.117us           0 B           0 B      15.00 KB      15.00 KB            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.506us         0.01%      33.506us       1.117us           0 B           0 B           0 B           0 B            30  
                                  _validate_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      30.178us         0.01%      30.178us       2.012us           0 B           0 B           0 B           0 B            15  
                             _group_beam_outputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      28.350us         0.01%      28.350us       1.890us           0 B           0 B           0 B           0 B            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.360us         0.01%      23.360us       0.934us           0 B           0 B           0 B           0 B            25  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.006us         0.01%      23.006us       1.150us           0 B           0 B           0 B           0 B            20  
                                              aten::mul         0.09%     269.548us         0.13%     398.668us      39.867us      22.688us         0.01%      22.688us       2.269us           0 B           0 B      15.00 KB      15.00 KB            10  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.688us         0.01%      22.688us       2.269us           0 B           0 B           0 B           0 B            10  
                                              aten::sub         0.21%     654.500us         0.32%     997.601us      49.880us      21.953us         0.01%      21.953us       1.098us           0 B           0 B      10.00 KB      10.00 KB            20  
                                    _commit_step_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      21.827us         0.01%      21.827us       1.455us           0 B           0 B           0 B           0 B            15  
                                               aten::eq         0.20%     635.925us         0.28%     888.956us      44.448us      20.416us         0.01%      20.416us       1.021us           0 B           0 B      10.00 KB      10.00 KB            20  
                               _append_completed_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.231us         0.01%      19.231us       1.282us           0 B           0 B           0 B           0 B            15  
